,Crop,Years,Million Acres Harvested Acreage,Million Bushels Production,PYPA,PPYPA,Yield per harvested acre,Predicted Yield per Acre
437,Oats,2008,1.4140000000000001,90.051,60.1,59.8,63.7,60.34616389648079
438,Oats,2009,1.34,91.04299999999999,63.7,60.1,67.9,62.277894116814
439,Oats,2010,1.2670000000000001,81.85600000000001,67.9,63.7,64.6,66.19698523627734
440,Oats,2011,0.875,50.126000000000005,64.6,67.9,57.3,66.71433739015579
441,Oats,2012,1.005,61.486000000000004,57.3,64.6,61.2,61.41782527990714
442,Oats,2013,1.0090000000000001,64.642,61.2,57.3,64.1,59.604449248194896
443,Oats,2014,1.035,70.232,64.1,61.2,67.9,63.03595720911586
444,Oats,2015,1.275,89.455,67.9,64.1,70.2,66.40202516623505
445,Oats,2016,0.9790000000000001,64.628,70.2,67.9,66.0,69.48244120565067
446,Oats,2017,0.804,49.585,66.0,70.2,61.7,68.58383848395837
447,Oats,2018,0.865,56.13,61.7,66.0,64.8902,64.30777658268862
448,Oats,2019,0.909,60.385,64.8902,61.7,66.4301,63.68127113704477
520,Sorghum,2000,7.726,470.526,69.7,67.3,60.9,69.02996183167225
521,Sorghum,2001,8.579,514.04,60.9,69.7,59.9,65.9205125147681
522,Sorghum,2002,7.125,360.713,59.9,60.9,50.6,60.902079757173816
523,Sorghum,2003,7.797999999999999,411.219,50.6,59.9,52.7,55.80155828505104
524,Sorghum,2004,6.517,453.606,52.7,50.6,69.6,52.06048839252716
525,Sorghum,2005,5.736000000000001,392.73900000000003,69.6,52.7,68.5,61.4787293856613
526,Sorghum,2006,4.937,276.824,68.5,69.6,56.1,69.58618465694677
527,Sorghum,2007,6.792000000000001,497.445,56.1,68.5,73.2,62.91512219521808
528,Sorghum,2008,7.312,475.855,73.2,56.1,65.1,65.0162259039838
529,Sorghum,2009,5.502000000000001,381.605,65.1,73.2,69.4,69.75676056853503
530,Sorghum,2010,4.806,345.464,69.4,65.1,71.9,67.72375207884586
531,Sorghum,2011,3.945,212.993,71.9,69.4,54.0,71.15324041309454
532,Sorghum,2012,4.995,247.74200000000002,54.0,71.9,49.6,63.60071190624458
533,Sorghum,2013,6.585,392.33099999999996,49.6,54.0,59.6,52.27159030420273
534,Sorghum,2014,6.401,432.575,59.6,49.6,67.6,54.956229776312604
535,Sorghum,2015,7.851,596.751,67.6,59.6,76.0,64.0482498256114
536,Sorghum,2016,6.162999999999999,480.26099999999997,76.0,67.6,77.9,72.28012070405495
537,Sorghum,2017,5.044,361.871,77.9,76.0,71.7,77.51122596774194
538,Sorghum,2018,5.061,364.986,71.7,77.9,72.1174,75.42146971481823
539,Sorghum,2019,4.735,351.58,72.1174,71.7,74.2513,72.44746666478414
