contest_group_id,contest_name,choice,choice_party,sum
10,WAKE COUNTY BOARD OF COMMISSIONERS DISTRICT 4 (DEM),Susan P. Evans,DEM,38793
17,CLINTON CITY SCHOOLS BOARD OF EDUCATION,Stuart Blount,,591
3,UNION COUNTY BOARD OF COMMISSIONERS (REP),Stony Rushing,REP,7101
6,ALAMANCE COUNTY BOARD OF COMMISSIONERS (REP),Steven J. Carter,REP,4144
1554,US HOUSE OF REPRESENTATIVES DISTRICT 11 (DEM),Steve Woodsmall,DEM,10356
10,AVERY COUNTY BOARD OF EDUCATION,Steve Smith (Write-In),,1
4,DAVIDSON COUNTY BOARD OF COMMISSIONERS (REP),Steve Shell,REP,10659
3,MITCHELL COUNTY BOARD OF COMMISSIONERS (REP),Steve Pitman,REP,1347
24,GUILFORD COUNTY SHERIFF (REP),Steve Parr,REP,1615
1247,NC HOUSE OF REPRESENTATIVES DISTRICT 080 (REP),Steve Jarvis,REP,6371
10,AVERY COUNTY BOARD OF EDUCATION,Steve H. Smith,,1304
10,AVERY COUNTY BOARD OF EDUCATION,Steve H Smith,,0
26,WILKES COUNTY BOARD OF EDUCATION,Steve Collins,,2329
13,SURRY COUNTY SHERIFF (REP),Steve C. Hiatt,REP,2265
21,JOHNSTON COUNTY SHERIFF (REP),Steve Bizzell,REP,7752
15,RUTHERFORD COUNTY SHERIFF (REP),Steve (Theo) Theodoropoulos,REP,446
12,ASHE COUNTY SHERIFF (REP),Stephen Mochen,REP,567
1626,DISTRICT ATTORNEY DISTRICT 24 (DEM),Stephanie Reese,DEM,12743
10,RICHMOND COUNTY BOARD OF EDUCATION,Statha Gilliam Osborne,,2064
1656,DISTRICT ATTORNEY DISTRICT 37 (DEM),Spencer Merriweather,DEM,43136
37,GUILFORD COUNTY BOARD OF COMMISSIONERS DISTRICT 8 UNEXPIRED (DEM),Skip Alston,DEM,2287
1,WAKE COUNTY BOARD OF COMMISSIONERS DISTRICT 1 (DEM),Sig Hutchinson,DEM,38548
13,CLAY COUNTY SHERIFF (REP),Shon Crisp,REP,347
1107,NC HOUSE OF REPRESENTATIVES DISTRICT 033 (DEM),Shirley E. Hicks,DEM,879
1502,NC STATE SENATE DISTRICT 45 (REP),Shirley Blackburn Randleman,REP,7276
6,CATAWBA COUNTY BOARD OF COMMISSIONERS (REP),Sherry Edmonds Butler,REP,11301
7,WARREN COUNTY BOARD OF COMMISSIONERS DISTRICT 4 (DEM),Sheilah Alston Miles,DEM,681
22,ROBESON COUNTY BOARD OF EDUCATION DISTRICT 6,Sheila Gasque (Write-In),,1
16,SAMPSON COUNTY BOARD OF EDUCATION,Shea Grantham Autry,,327
1040,NC HOUSE OF REPRESENTATIVES DISTRICT 011 (REP),Shawn Michael Hamilton,REP,456
26,WILKES COUNTY BOARD OF EDUCATION,Sharron Nichols Huffman,,4357
25,WILKES COUNTY SHERIFF (REP),Sharon Call-Diaz,REP,410
16,NORTHAMPTON COUNTY BOARD OF EDUCATION,Shanee Jacobs Smith,,780
21,ROBESON COUNTY BOARD OF EDUCATION DISTRICT 3,Severeo Kerns,,491
19,WILKES COUNTY BOARD OF COMMISSIONERS (REP),Seth Cohn,REP,1090
1550,US HOUSE OF REPRESENTATIVES DISTRICT 10 (REP),Seth Blankenship,REP,1443
1257,NC HOUSE OF REPRESENTATIVES DISTRICT 083 (DEM),Senah Andrews,DEM,1024
1607,DISTRICT ATTORNEY DISTRICT 17 (REP),Sean Boone,REP,4414
4,CLAY COUNTY BOARD OF COMMISSIONERS (REP),Scotty Penland,REP,1327
3,IREDELL COUNTY BOARD OF COMMISSIONERS (REP),Scottie Brown,REP,4545
1652,DISTRICT ATTORNEY DISTRICT 36 (REP),Scott Reilly,REP,14425
1545,US HOUSE OF REPRESENTATIVES DISTRICT 08 (DEM),Scott Huffman,DEM,6574
9,STANLY COUNTY BOARD OF COMMISSIONERS DISTRICT 1 (REP),Scott Efird,REP,3257
1529,US HOUSE OF REPRESENTATIVES DISTRICT 03 (REP),Scott Dacey,REP,13420
1534,US HOUSE OF REPRESENTATIVES DISTRICT 04 (LIB),Scerry Perry Whitlock,LIB,159
1605,DISTRICT ATTORNEY DISTRICT 16 (DEM),Satana Deberry,DEM,15281
1277,NC HOUSE OF REPRESENTATIVES DISTRICT 090 (REP),Sarah Stevens,REP,4060
19,ORANGE COUNTY BOARD OF EDUCATION,Sarah Smylie,,5451
12,LEE COUNTY BOARD OF COMMISSIONERS DISTRICT 4 (REP),Sandra Jones,REP,130
1454,NC STATE SENATE DISTRICT 29 (REP),Sam Watford,REP,9438
9,ROCKINGHAM COUNTY SHERIFF (REP),Sam Page,REP,5017
6,AVERY COUNTY BOARD OF COMMISSIONERS (REP),Sam Laws,REP,729
16,YADKIN BOARD OF EDUCATION,Sam Crews,,1849
1,ORANGE COUNTY BOARD OF COMMISSIONERS AT-LARGE (DEM),Sally Greene,DEM,11203
16,GATES COUNTY BOARD OF EDUCATION DISTRICT 1,Sallie J. Ryan,,2083
22,BLADEN COUNTY BOARD OF EDUCATION DISTRICT 1 (DEM),Sabrina Murchison,DEM,578
7,MONTGOMERY COUNTY BOARD OF COMMISSIONERS AT-LARGE (DEM),Sabrena Conrad,DEM,848
39,COLUMBUS COUNTY SHERIFF (REP),S. Jody Greene,REP,1412
1539,US HOUSE OF REPRESENTATIVES DISTRICT 06 (DEM),Ryan Watts,DEM,26072
1493,NC STATE SENATE DISTRICT 42 (REP),Ryan Huffman,REP,2236
25,COLUMBUS COUNTY BOARD OF COMMISSIONERS DISTRICT 1 (DEM),Ryan Featherson,DEM,154
16,VANCE COUNTY BOARD OF EDUCATION DISTRICT 7 (DEM),Ruth McCune Hartness,DEM,579
1151,NC HOUSE OF REPRESENTATIVES DISTRICT 048 (REP),Russell Walker,REP,824
10,BLADEN COUNTY BOARD OF COMMISSIONERS DISTRICT 3 (DEM),Russell Priest,DEM,800
13,CRAVEN COUNTY BOARD OF COMMISSIONERS DISTRICT 5 (DEM),"Rufus Carter, Jr.",DEM,281
6,AVERY COUNTY BOARD OF COMMISSIONERS (REP),Rose Trivett Gates,REP,836
1107,NC HOUSE OF REPRESENTATIVES DISTRICT 033 (DEM),Rosa U. Gill,DEM,3514
7,POLK COUNTY SHERIFF (DEM),Ronnie Smith,DEM,346
16,ROBESON COUNTY SHERIFF (DEM),Ronnie Patterson,DEM,7322
12,DARE COUNTY BOARD OF COMMISSIONERS DISTRICT 2 (REP),Ronnie Merrell,REP,1266
16,BUNCOMBE COUNTY SHERIFF (DEM),Rondell Lance,DEM,784
13,GRANVILLE COUNTY SHERIFF (DEM),Ronald M. Smith,DEM,597
22,ROBESON COUNTY BOARD OF EDUCATION DISTRICT 6,Ronald Hammonds (Write-In),,1
9,ROBESON COUNTY BOARD OF COMMISSIONERS DISTRICT 6 (REP),Ronald G. Hammonds,REP,174
18,MOORE COUNTY SHERIFF (REP),Ronald Alan (Ronnie) Fields,REP,6609
6,ROCKINGHAM COUNTY BOARD OF EDUCATION AT-LARGE (REP),Ron Price,REP,2667
1619,DISTRICT ATTORNEY DISTRICT 22 (REP),Ron Bradsher,REP,2145
1247,NC HOUSE OF REPRESENTATIVES DISTRICT 080 (REP),Roger Younts,REP,3098
8,MONTGOMERY COUNTY SHERIFF (DEM),Roger Roberts,DEM,1552
1605,DISTRICT ATTORNEY DISTRICT 16 (DEM),Roger Echols,DEM,12696
1305,NC HOUSE OF REPRESENTATIVES DISTRICT 099 (DEM),Rodney W. Moore,DEM,879
12,CAMDEN COUNTY SHERIFF (REP),Rodney L. Meads,REP,568
19,WILKES COUNTY BOARD OF COMMISSIONERS (REP),Rodney Buff,REP,998
1482,NC STATE SENATE DISTRICT 38 (DEM),Roderick Davis,DEM,631
7,BOARD OF EDUCATION,Robin McClees Dunbar,,272
9,DAVIE COUNTY BOARD OF COMMISSIONERS (REP),Robert Wisecarver,REP,2303
4,NORTHAMPTON COUNTY BOARD OF COMMISSIONERS DISTRICT 4 (DEM),Robert V. Carter,DEM,1685
13,CLAY COUNTY SHERIFF (REP),Robert Tison,REP,240
1547,US HOUSE OF REPRESENTATIVES DISTRICT 09 (REP),Robert Pittenger,REP,16474
19,WARREN COUNTY BOARD OF EDUCATION DISTRICT 4,Robert Moore,,401
16,SAMPSON COUNTY BOARD OF EDUCATION,"Robert M. Burley, Jr.",,580
19,WILKES COUNTY BOARD OF COMMISSIONERS (REP),Robert L. Wood,REP,1227
980034,TOWN OF SHARPSBURG MAYOR,"Robert L. Williams, Jr.",,169
6,ALAMANCE COUNTY BOARD OF COMMISSIONERS (REP),Robert L. Simpson,REP,3797
