contest_group_id,contest_name,choice,choice_party,sum
8,SOIL AND WATER CONSERVATION DISTRICT SUPERVISOR,Tracy B. Warren,,18607
2,CATAWBA COUNTY BOARD OF EDUCATION,Tracey Stracener,,9067
4,PERSON COUNTY REGISTER OF DEEDS,Tonya R. Wilson,DEM,15297
8,RANDOLPH COUNTY BOARD OF EDUCATION,Tonya Hayes,,16219
5,GRANVILLE COUNTY BOARD OF COMMISSIONERS DISTRICT 4,Tony W. Cozart,DEM,3091
1,SOIL AND WATER CONSERVATION DISTRICT SUPERVISOR,Tony Mercando (Write-In),,34
4,DUPLIN COUNTY BOARD OF COMMISSIONERS DISTRICT 5,Tony James,UNA,1250
8,MCDOWELL COUNTY REGISTER OF DEEDS,Tonia Hampton,REP,15564
1300,NC DISTRICT COURT JUDGE DISTRICT 18 (JONES),Tonia A. Cutchin,,105346
1044,NC STATE SENATE DISTRICT 19,Toni Morris,DEM,31149
860001,TOWN OF ELKIN COMMISSIONER,Tommy Wheeler,,981
2,POLK COUNTY BOARD OF COMMISSIONERS AT-LARGE,Tommy W. Melton,REP,5569
1060,NC STATE SENATE DISTRICT 35,Tommy Tucker,REP,73032
4,SOIL AND WATER CONSERVATION DISTRICT SUPERVISOR,Tommy Hobbs,,15910
4,LINCOLN COUNTY BOARD OF EDUCATION DISTRICT 1,Tommy D. Houser,,14373
3,AVERY COUNTY SOIL AND WATER CONSERVATION DISTRICT SUPERVISOR,Tommy Carver (Write-In),,16
3,AVERY COUNTY SOIL AND WATER CONSERVATION DISTRICT SUPERVISOR,Tommy Burleson (Write-In),,9
6,MARTIN COUNTY BOARD OF COMMISSIONERS EASTERN DISTRICT,Tommy Bowen,DEM,5614
8,MACON COUNTY BOARD OF EDUCATION DISTRICT 3,Tommy Baldwin (Write-In),,5
1050,NC STATE SENATE DISTRICT 25,Tom McInnis,REP,53621
1285,NC DISTRICT COURT JUDGE DISTRICT 15A (LAMBETH),Tom Lambeth,,50826
6,PITT COUNTY BOARD OF COMMISSIONERS DISTRICT B,Tom Johnson,DEM,11302
4,ALAMANCE COUNTY BOARD OF COMMISSIONERS,Tom Gamble,DEM,27674
6,PITT COUNTY BOARD OF COMMISSIONERS DISTRICT B,Tom Coulson,REP,14984
15,WAKE COUNTY BOARD OF EDUCATION DISTRICT 5,Tom Benton (Write-In),,6
16,WAKE COUNTY BOARD OF EDUCATION DISTRICT 6,Tom Benton (Write-In),,6
11,WAKE COUNTY BOARD OF EDUCATION DISTRICT 1,Tom Benton,,16830
1376,NC SUPERIOR COURT JUDGE DISTRICT 27B,Todd Pomeroy,,56366
5,JOHNSTON COUNTY BOARD OF EDUCATION,Todd P. Sutton,,31984
8,RANDOLPH COUNTY BOARD OF EDUCATION,Todd Cutler,,23993
12,SOIL AND WATER CONSERVATION DISTRICT SUPERVISOR,Todd Combs,,12722
8,TOWN OF DOBSON COMMISSIONER,Todd C. Dockery,,405
4,GREENE COUNTY BOARD OF EDUCATION,Tina Murphy,DEM,4703
2,BOARD OF EDUCATION DISTRICT 6,Tina M. Odom,,1271
1295,NC DISTRICT COURT JUDGE DISTRICT 16B (MOORE),Timothy J. Peterkin,,14110
